パターンID,難易度（1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,イーブイの進化系ではないものはどれ？,,サンダー,エーフィ,ニンフィア,グレイシア,サンダーは伝説ポケモンです。,
1,1,飛行タイプではないポケモンはどれ？,,ハクリュー,ギャラドス,プテラ,カイリュー,ハクリューは水タイプしか持ってないです。,
1,1,最終進化までにほのおタイプしか持ってないものはどれ？,,ヒノアラシ,ポカブ,ヒコザル,ヒトカゲ,他の三匹は格闘タイプも持ちます。,
1,1,メガシンカがないポケモンはどれ？,,エンペルト,カイロス,スピア,タブンネ,エンペルトはまだ実装されていません。,
1,1,準伝説ポケモンはどれ？,,クルセリア,アブソル,ゾロアーク,ルカリオ,他は通常ポケモンです。,
1,1,第１世代のポケモンが進化系ではないベイビーポケモンのはどれ？,,ソーナノ,ゴンベ,ピンプク,ピィ,ソーナンスは第２世代からの登場です。,
1,1,第１世代は何番までいる？,,151,100,135,107,ミュウを知っていればわかるよね。,
1,1,ポケモン赤・緑においてニョロゾとの交換によって入手できるポケモンはどれ？,,ルージュラ,ニョロトノ,ニョロボン,ヤドキング,知らないと解けないよね,
1,1,初代ポケモンゲームにおいて通信プレイでゲット可能なポケモン,,フーディン,カモネギ,バリヤード,ルージュラ,通信交換進化出し、難しかったかな？,
1,1,シルフカンパニーが作ったポケモンはどれ？,,ポリゴン,ミュウツー,コイル,ベトベター,シルフカンパニー職員からもらえるよ,
1,2,レベル32で進化するポケモンはどれ？,,フシギバナ,リザードン,カメックス,ライチュウ,そもそも三択出しライチュウ選んでないよね？,
1,2,コイキングがギャラドスに進化するレベルは？,,20,25,30,35,早く強キャラにできるね,
1,2,クサイハナがラフレシアに進化するレベルは？,,リーフの石を使う,太陽の石を使う,20,30,進化するにはリーフの石が必要だよ,
1,2,次のうちレベル３４で最終進化するのはどれ？,,全員,モクロー,アシマリ,ニャビー,全員一緒だよ,
1,2,次のうち進化するのにアイテムが必要ないポケモンはどれ？,,ゴースト,ヤドン,プリン,ブーバー,ゴーストは通信交換で進化だよ！,
1,2,最終進化が複数あるポケモンはどれ？,,ラルトス,ポリゴン,ヤミカラス,ヒマナッツ,男女で進化変わるよ,
1,2,リージョンフォームがないポケモンはどれ？,,カラカラ,ニャース,ライチュウ,ディグダ,リージョンフォームがあるのはガラガラな,
1,2,フォルムチェンジがあるポケモンはどれ？,,ゲノセクト,ルカリオ,ダークライ,パルキア,,
1,2,イーブイ関連でない属性はどれ？,,むし,フェアリー,こおり,エスパー,虫はいない,
1,2,伝説ポケモンではないのはどれ？,,セレビィ,カイオーガ,レックウザ,グラードン,セレビィは幻な！,
